PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=8.27 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=1.79 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.697 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=0.660 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.478 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.642 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=0.380 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=0.413 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.423 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.495 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.450 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.758 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=0.561 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=1.11 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=0.759 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=64 time=0.780 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=2.52 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=1.23 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=1.57 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=0.806 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=0.538 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=1.60 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=0.873 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=0.811 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=1.57 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=4.00 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=2.04 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=0.858 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=0.463 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=0.831 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=2.30 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=0.873 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=6.70 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=0.903 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=0.964 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=1.75 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=4.70 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=0.477 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=0.561 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=1.31 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=2.72 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=1.08 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=1.01 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=1.49 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=64 time=2.08 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=64 time=0.769 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=64 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=64 time=0.480 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=64 time=1.43 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=64 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=64 time=1.23 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=64 time=7.92 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=64 time=0.662 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=64 time=1.36 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=64 time=1.34 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=64 time=1.44 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=64 time=0.513 ms
64 bytes from 10.10.0.10: icmp_seq=70 ttl=64 time=1.23 ms
64 bytes from 10.10.0.10: icmp_seq=71 ttl=64 time=1.27 ms
64 bytes from 10.10.0.10: icmp_seq=72 ttl=64 time=1.41 ms
64 bytes from 10.10.0.10: icmp_seq=73 ttl=64 time=4.89 ms
64 bytes from 10.10.0.10: icmp_seq=74 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=75 ttl=64 time=0.505 ms
64 bytes from 10.10.0.10: icmp_seq=81 ttl=63 time=6.43 ms
64 bytes from 10.10.0.10: icmp_seq=82 ttl=63 time=3.39 ms
64 bytes from 10.10.0.10: icmp_seq=83 ttl=63 time=8.32 ms
64 bytes from 10.10.0.10: icmp_seq=84 ttl=63 time=1.86 ms
64 bytes from 10.10.0.10: icmp_seq=85 ttl=63 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=86 ttl=63 time=1.64 ms
64 bytes from 10.10.0.10: icmp_seq=87 ttl=63 time=1.68 ms
64 bytes from 10.10.0.10: icmp_seq=88 ttl=63 time=2.09 ms
64 bytes from 10.10.0.10: icmp_seq=89 ttl=63 time=2.07 ms
64 bytes from 10.10.0.10: icmp_seq=90 ttl=63 time=1.23 ms
64 bytes from 10.10.0.10: icmp_seq=91 ttl=63 time=1.34 ms
64 bytes from 10.10.0.10: icmp_seq=92 ttl=63 time=7.42 ms
