PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=2 ttl=56 time=31.5 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=56 time=6.45 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=56 time=5.76 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=56 time=3.74 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=56 time=3.90 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=56 time=5.70 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=56 time=5.82 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=56 time=4.91 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=56 time=6.30 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=56 time=4.34 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=56 time=5.84 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=56 time=9.24 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=56 time=9.01 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=56 time=18.6 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=56 time=8.64 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=56 time=4.41 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=56 time=6.95 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=56 time=10.3 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=56 time=8.40 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=56 time=9.57 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=56 time=6.11 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=56 time=5.18 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=56 time=13.7 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=56 time=9.97 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=56 time=7.84 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=56 time=8.04 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=56 time=4.70 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=56 time=10.2 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=56 time=8.11 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=56 time=5.92 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=56 time=7.66 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=56 time=12.7 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=56 time=3.41 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=56 time=7.80 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=56 time=7.70 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=56 time=7.76 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=56 time=8.37 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=56 time=6.36 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=56 time=5.46 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=56 time=6.90 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=56 time=15.7 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=56 time=8.52 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=56 time=5.28 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=56 time=6.25 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=56 time=6.68 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=56 time=6.48 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=56 time=7.03 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=56 time=9.15 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=56 time=6.37 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=56 time=14.7 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=56 time=5.77 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=56 time=7.65 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=56 time=6.51 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=56 time=7.97 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=56 time=8.18 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=56 time=6.42 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=56 time=7.71 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=56 time=10.3 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=56 time=12.5 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=56 time=7.04 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=56 time=6.51 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=56 time=5.55 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=56 time=6.22 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=56 time=7.45 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=56 time=8.67 ms
From 10.10.0.1 icmp_seq=74 Destination Host Unreachable
