PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=3.25 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=1.77 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.617 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=1.19 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.521 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.620 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=0.584 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=0.877 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.763 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.511 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.507 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.904 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=7.28 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=0.805 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=0.521 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=64 time=0.498 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=64 time=0.490 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=64 time=0.813 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=64 time=0.816 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=64 time=0.717 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=3.12 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=0.853 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=1.42 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=1.04 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=0.502 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=1.41 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=0.507 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=0.811 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=0.558 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=0.896 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=1.37 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=0.465 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=0.793 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=0.929 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=0.825 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=1.22 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=0.557 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=0.940 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=2.20 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=2.34 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=0.576 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=2.35 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=0.476 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=64 time=5.68 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=64 time=0.987 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=64 time=0.447 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=64 time=1.04 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=64 time=1.15 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=64 time=0.946 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=64 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=64 time=0.886 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=64 time=1.34 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=64 time=0.843 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=64 time=0.882 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=64 time=0.504 ms
