PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=63 time=6.71 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=63 time=3.42 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=63 time=2.47 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=63 time=3.05 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=63 time=1.73 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=63 time=1.70 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=63 time=3.76 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=63 time=7.61 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=63 time=3.01 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=63 time=2.61 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=63 time=1.89 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=63 time=2.67 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=63 time=2.77 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=63 time=2.07 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=63 time=2.64 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=63 time=1.92 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=63 time=3.15 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=63 time=2.39 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=63 time=1.95 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=63 time=2.97 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=63 time=1.10 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=63 time=1.04 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=63 time=1.07 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=63 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=63 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=63 time=3.87 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=63 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=63 time=0.889 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=63 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=63 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=63 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=63 time=1.66 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=63 time=0.840 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=63 time=0.944 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=63 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=63 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=63 time=1.54 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=63 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=63 time=0.859 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=63 time=0.977 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=63 time=1.38 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=63 time=1.19 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=63 time=1.62 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=63 time=1.43 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=63 time=2.87 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=63 time=0.859 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=63 time=4.03 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=63 time=1.85 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=63 time=1.78 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=63 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=63 time=1.11 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=63 time=5.74 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=63 time=1.30 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=63 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=63 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=63 time=1.15 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=63 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=63 time=2.90 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=63 time=1.56 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=63 time=1.34 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=63 time=5.33 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=63 time=0.874 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=63 time=1.36 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=63 time=1.76 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=63 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=63 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=63 time=0.946 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=63 time=0.838 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=63 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=70 ttl=63 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=71 ttl=63 time=8.63 ms
64 bytes from 10.10.0.10: icmp_seq=72 ttl=63 time=1.37 ms
64 bytes from 10.10.0.10: icmp_seq=73 ttl=63 time=1.04 ms
64 bytes from 10.10.0.10: icmp_seq=74 ttl=63 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=75 ttl=63 time=4.31 ms
64 bytes from 10.10.0.10: icmp_seq=76 ttl=63 time=2.38 ms
64 bytes from 10.10.0.10: icmp_seq=77 ttl=63 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=78 ttl=63 time=1.81 ms
64 bytes from 10.10.0.10: icmp_seq=79 ttl=63 time=1.08 ms
64 bytes from 10.10.0.10: icmp_seq=80 ttl=63 time=7.20 ms
64 bytes from 10.10.0.10: icmp_seq=85 ttl=62 time=7.10 ms
64 bytes from 10.10.0.10: icmp_seq=86 ttl=63 time=0.799 ms
64 bytes from 10.10.0.10: icmp_seq=87 ttl=63 time=0.875 ms
64 bytes from 10.10.0.10: icmp_seq=88 ttl=63 time=1.38 ms
64 bytes from 10.10.0.10: icmp_seq=89 ttl=63 time=0.783 ms
64 bytes from 10.10.0.10: icmp_seq=90 ttl=63 time=8.22 ms
64 bytes from 10.10.0.10: icmp_seq=91 ttl=63 time=0.578 ms
64 bytes from 10.10.0.10: icmp_seq=92 ttl=63 time=0.774 ms
64 bytes from 10.10.0.10: icmp_seq=93 ttl=63 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=94 ttl=63 time=0.587 ms
64 bytes from 10.10.0.10: icmp_seq=95 ttl=63 time=0.859 ms
64 bytes from 10.10.0.10: icmp_seq=96 ttl=63 time=0.657 ms
64 bytes from 10.10.0.10: icmp_seq=97 ttl=63 time=1.36 ms
64 bytes from 10.10.0.10: icmp_seq=98 ttl=63 time=0.728 ms
64 bytes from 10.10.0.10: icmp_seq=99 ttl=63 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=100 ttl=63 time=0.707 ms
64 bytes from 10.10.0.10: icmp_seq=101 ttl=63 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=102 ttl=63 time=1.99 ms
64 bytes from 10.10.0.10: icmp_seq=103 ttl=63 time=1.11 ms
64 bytes from 10.10.0.10: icmp_seq=104 ttl=63 time=0.695 ms
64 bytes from 10.10.0.10: icmp_seq=105 ttl=63 time=2.82 ms
64 bytes from 10.10.0.10: icmp_seq=106 ttl=63 time=0.749 ms
64 bytes from 10.10.0.10: icmp_seq=107 ttl=63 time=0.822 ms
64 bytes from 10.10.0.10: icmp_seq=108 ttl=63 time=0.806 ms
64 bytes from 10.10.0.10: icmp_seq=109 ttl=63 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=110 ttl=63 time=0.613 ms
64 bytes from 10.10.0.10: icmp_seq=111 ttl=63 time=1.32 ms
64 bytes from 10.10.0.10: icmp_seq=112 ttl=63 time=0.743 ms
64 bytes from 10.10.0.10: icmp_seq=113 ttl=63 time=0.577 ms
64 bytes from 10.10.0.10: icmp_seq=114 ttl=63 time=0.786 ms
64 bytes from 10.10.0.10: icmp_seq=115 ttl=63 time=1.20 ms
64 bytes from 10.10.0.10: icmp_seq=116 ttl=63 time=6.71 ms
64 bytes from 10.10.0.10: icmp_seq=117 ttl=63 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=118 ttl=63 time=0.794 ms
64 bytes from 10.10.0.10: icmp_seq=119 ttl=63 time=0.616 ms
64 bytes from 10.10.0.10: icmp_seq=120 ttl=63 time=0.683 ms
64 bytes from 10.10.0.10: icmp_seq=121 ttl=63 time=1.32 ms
64 bytes from 10.10.0.10: icmp_seq=122 ttl=63 time=0.738 ms
64 bytes from 10.10.0.10: icmp_seq=123 ttl=63 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=124 ttl=63 time=4.04 ms
64 bytes from 10.10.0.10: icmp_seq=125 ttl=63 time=0.809 ms
64 bytes from 10.10.0.10: icmp_seq=126 ttl=63 time=2.28 ms
64 bytes from 10.10.0.10: icmp_seq=127 ttl=63 time=2.05 ms
64 bytes from 10.10.0.10: icmp_seq=128 ttl=63 time=1.04 ms
64 bytes from 10.10.0.10: icmp_seq=129 ttl=63 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=130 ttl=63 time=1.56 ms
64 bytes from 10.10.0.10: icmp_seq=131 ttl=63 time=0.802 ms
64 bytes from 10.10.0.10: icmp_seq=132 ttl=63 time=2.80 ms
64 bytes from 10.10.0.10: icmp_seq=133 ttl=63 time=2.44 ms
64 bytes from 10.10.0.10: icmp_seq=134 ttl=63 time=4.25 ms
64 bytes from 10.10.0.10: icmp_seq=135 ttl=63 time=2.07 ms
64 bytes from 10.10.0.10: icmp_seq=136 ttl=63 time=1.44 ms
64 bytes from 10.10.0.10: icmp_seq=137 ttl=63 time=1.69 ms
64 bytes from 10.10.0.10: icmp_seq=138 ttl=64 time=5.05 ms
64 bytes from 10.10.0.10: icmp_seq=139 ttl=64 time=0.920 ms
64 bytes from 10.10.0.10: icmp_seq=147 ttl=63 time=6.05 ms
64 bytes from 10.10.0.10: icmp_seq=148 ttl=63 time=4.90 ms
64 bytes from 10.10.0.10: icmp_seq=149 ttl=63 time=1.14 ms
64 bytes from 10.10.0.10: icmp_seq=150 ttl=63 time=1.89 ms
64 bytes from 10.10.0.10: icmp_seq=151 ttl=63 time=1.21 ms
64 bytes from 10.10.0.10: icmp_seq=152 ttl=63 time=1.79 ms
64 bytes from 10.10.0.10: icmp_seq=153 ttl=63 time=1.76 ms
64 bytes from 10.10.0.10: icmp_seq=154 ttl=63 time=1.73 ms
64 bytes from 10.10.0.10: icmp_seq=155 ttl=63 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=156 ttl=63 time=2.29 ms
64 bytes from 10.10.0.10: icmp_seq=157 ttl=63 time=3.13 ms
64 bytes from 10.10.0.10: icmp_seq=158 ttl=63 time=2.08 ms
64 bytes from 10.10.0.10: icmp_seq=159 ttl=63 time=1.23 ms
64 bytes from 10.10.0.10: icmp_seq=160 ttl=63 time=10.7 ms
64 bytes from 10.10.0.10: icmp_seq=161 ttl=63 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=162 ttl=63 time=2.61 ms
64 bytes from 10.10.0.10: icmp_seq=163 ttl=63 time=2.23 ms
64 bytes from 10.10.0.10: icmp_seq=164 ttl=63 time=2.00 ms
64 bytes from 10.10.0.10: icmp_seq=165 ttl=63 time=1.15 ms
64 bytes from 10.10.0.10: icmp_seq=166 ttl=63 time=2.19 ms
64 bytes from 10.10.0.10: icmp_seq=167 ttl=63 time=1.61 ms
64 bytes from 10.10.0.10: icmp_seq=168 ttl=63 time=2.02 ms
64 bytes from 10.10.0.10: icmp_seq=169 ttl=63 time=1.64 ms
64 bytes from 10.10.0.10: icmp_seq=170 ttl=63 time=2.03 ms
64 bytes from 10.10.0.10: icmp_seq=171 ttl=63 time=2.65 ms
64 bytes from 10.10.0.10: icmp_seq=172 ttl=63 time=2.36 ms
64 bytes from 10.10.0.10: icmp_seq=173 ttl=63 time=2.38 ms
64 bytes from 10.10.0.10: icmp_seq=174 ttl=63 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=175 ttl=63 time=2.13 ms
