PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=3.55 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=1.75 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=63 time=4.17 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=1.14 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.455 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.598 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=0.851 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=0.689 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.971 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.425 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.602 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.889 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=5.65 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=0.393 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=64 time=0.512 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=64 time=0.364 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=64 time=0.488 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=64 time=2.33 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=3.31 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=1.08 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=3.74 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=0.898 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=0.998 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=0.966 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=2.31 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=0.529 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=0.481 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=3.21 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=1.20 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=5.27 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=1.05 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=0.736 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=0.983 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=1.09 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=4.91 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=0.594 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=1.77 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=0.837 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=0.875 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=2.07 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=0.479 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=2.22 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=0.916 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=2.53 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=0.844 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=4.91 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=1.04 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=1.13 ms
