PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=56 time=19.2 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=56 time=6.00 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=56 time=5.47 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=56 time=5.45 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=56 time=3.44 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=56 time=3.24 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=56 time=2.56 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=56 time=8.89 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=56 time=5.77 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=56 time=4.90 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=56 time=8.17 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=56 time=14.3 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=56 time=4.42 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=56 time=4.87 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=56 time=8.24 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=56 time=8.49 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=56 time=5.72 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=56 time=5.09 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=56 time=3.74 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=56 time=6.83 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=56 time=12.7 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=56 time=8.22 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=56 time=6.55 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=56 time=7.24 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=56 time=5.40 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=56 time=6.20 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=56 time=7.10 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=56 time=6.65 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=56 time=6.12 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=56 time=13.3 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=56 time=6.39 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=56 time=5.85 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=56 time=7.22 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=56 time=7.59 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=56 time=5.03 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=56 time=5.81 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=56 time=5.90 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=56 time=7.98 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=56 time=11.2 ms
