PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=2.38 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=0.460 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.743 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=0.791 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.367 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.638 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=0.631 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=0.621 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.594 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.798 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.334 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.959 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=4.56 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=0.691 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=0.698 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=2.30 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=2.39 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=0.883 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=8.33 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=1.65 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=2.89 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=0.915 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=0.957 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=0.884 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=1.36 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=7.83 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=0.821 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=0.860 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=1.45 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=0.946 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=1.41 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=0.852 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=0.966 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=0.801 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=0.900 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=0.994 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=0.795 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=0.915 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=1.31 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=0.643 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=7.48 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=64 time=1.63 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=64 time=0.897 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=64 time=0.906 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=64 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=64 time=0.462 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=64 time=1.48 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=64 time=0.874 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=64 time=0.920 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=64 time=0.524 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=64 time=2.10 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=64 time=0.807 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=64 time=2.47 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=64 time=0.878 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=64 time=0.922 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=64 time=0.521 ms
64 bytes from 10.10.0.10: icmp_seq=70 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=71 ttl=64 time=1.92 ms
64 bytes from 10.10.0.10: icmp_seq=72 ttl=64 time=0.480 ms
64 bytes from 10.10.0.10: icmp_seq=73 ttl=64 time=1.09 ms
64 bytes from 10.10.0.10: icmp_seq=74 ttl=64 time=0.437 ms
64 bytes from 10.10.0.10: icmp_seq=75 ttl=64 time=0.802 ms
64 bytes from 10.10.0.10: icmp_seq=95 ttl=62 time=8.38 ms
64 bytes from 10.10.0.10: icmp_seq=96 ttl=62 time=10.8 ms
64 bytes from 10.10.0.10: icmp_seq=97 ttl=62 time=2.00 ms
64 bytes from 10.10.0.10: icmp_seq=98 ttl=62 time=4.40 ms
64 bytes from 10.10.0.10: icmp_seq=99 ttl=62 time=3.04 ms
64 bytes from 10.10.0.10: icmp_seq=100 ttl=62 time=2.53 ms
64 bytes from 10.10.0.10: icmp_seq=101 ttl=62 time=3.00 ms
64 bytes from 10.10.0.10: icmp_seq=102 ttl=62 time=2.04 ms
64 bytes from 10.10.0.10: icmp_seq=103 ttl=62 time=2.64 ms
64 bytes from 10.10.0.10: icmp_seq=104 ttl=62 time=3.21 ms
64 bytes from 10.10.0.10: icmp_seq=105 ttl=62 time=1.92 ms
64 bytes from 10.10.0.10: icmp_seq=106 ttl=62 time=2.67 ms
64 bytes from 10.10.0.10: icmp_seq=107 ttl=62 time=2.76 ms
64 bytes from 10.10.0.10: icmp_seq=108 ttl=62 time=3.79 ms
64 bytes from 10.10.0.10: icmp_seq=109 ttl=62 time=2.17 ms
64 bytes from 10.10.0.10: icmp_seq=110 ttl=62 time=2.23 ms
64 bytes from 10.10.0.10: icmp_seq=111 ttl=62 time=2.80 ms
64 bytes from 10.10.0.10: icmp_seq=112 ttl=62 time=2.66 ms
64 bytes from 10.10.0.10: icmp_seq=113 ttl=62 time=4.18 ms
64 bytes from 10.10.0.10: icmp_seq=114 ttl=62 time=9.05 ms
64 bytes from 10.10.0.10: icmp_seq=115 ttl=62 time=3.09 ms
64 bytes from 10.10.0.10: icmp_seq=116 ttl=62 time=2.15 ms
64 bytes from 10.10.0.10: icmp_seq=117 ttl=62 time=2.97 ms
64 bytes from 10.10.0.10: icmp_seq=118 ttl=62 time=3.48 ms
64 bytes from 10.10.0.10: icmp_seq=119 ttl=62 time=3.28 ms
64 bytes from 10.10.0.10: icmp_seq=120 ttl=62 time=3.40 ms
64 bytes from 10.10.0.10: icmp_seq=121 ttl=62 time=3.85 ms
64 bytes from 10.10.0.10: icmp_seq=122 ttl=62 time=1.70 ms
64 bytes from 10.10.0.10: icmp_seq=123 ttl=62 time=8.38 ms
64 bytes from 10.10.0.10: icmp_seq=124 ttl=62 time=3.56 ms
64 bytes from 10.10.0.10: icmp_seq=125 ttl=62 time=3.38 ms
64 bytes from 10.10.0.10: icmp_seq=126 ttl=62 time=2.98 ms
64 bytes from 10.10.0.10: icmp_seq=127 ttl=62 time=3.17 ms
64 bytes from 10.10.0.10: icmp_seq=128 ttl=62 time=2.22 ms
64 bytes from 10.10.0.10: icmp_seq=129 ttl=62 time=2.36 ms
64 bytes from 10.10.0.10: icmp_seq=130 ttl=62 time=2.88 ms
64 bytes from 10.10.0.10: icmp_seq=131 ttl=62 time=4.30 ms
64 bytes from 10.10.0.10: icmp_seq=132 ttl=62 time=7.79 ms
64 bytes from 10.10.0.10: icmp_seq=133 ttl=62 time=2.63 ms
64 bytes from 10.10.0.10: icmp_seq=134 ttl=62 time=3.19 ms
64 bytes from 10.10.0.10: icmp_seq=138 ttl=62 time=6.86 ms
64 bytes from 10.10.0.10: icmp_seq=139 ttl=62 time=4.14 ms
64 bytes from 10.10.0.10: icmp_seq=140 ttl=62 time=11.2 ms
64 bytes from 10.10.0.10: icmp_seq=141 ttl=62 time=2.60 ms
64 bytes from 10.10.0.10: icmp_seq=142 ttl=62 time=4.65 ms
64 bytes from 10.10.0.10: icmp_seq=143 ttl=62 time=3.62 ms
64 bytes from 10.10.0.10: icmp_seq=144 ttl=62 time=2.60 ms
64 bytes from 10.10.0.10: icmp_seq=145 ttl=62 time=3.11 ms
64 bytes from 10.10.0.10: icmp_seq=146 ttl=62 time=2.27 ms
64 bytes from 10.10.0.10: icmp_seq=147 ttl=62 time=2.66 ms
64 bytes from 10.10.0.10: icmp_seq=148 ttl=62 time=3.41 ms
64 bytes from 10.10.0.10: icmp_seq=149 ttl=62 time=10.5 ms
64 bytes from 10.10.0.10: icmp_seq=150 ttl=62 time=2.63 ms
64 bytes from 10.10.0.10: icmp_seq=151 ttl=62 time=4.81 ms
64 bytes from 10.10.0.10: icmp_seq=152 ttl=62 time=2.90 ms
64 bytes from 10.10.0.10: icmp_seq=153 ttl=62 time=5.71 ms
64 bytes from 10.10.0.10: icmp_seq=154 ttl=62 time=2.41 ms
64 bytes from 10.10.0.10: icmp_seq=155 ttl=62 time=4.65 ms
64 bytes from 10.10.0.10: icmp_seq=156 ttl=62 time=3.12 ms
64 bytes from 10.10.0.10: icmp_seq=157 ttl=62 time=4.11 ms
64 bytes from 10.10.0.10: icmp_seq=158 ttl=62 time=7.61 ms
64 bytes from 10.10.0.10: icmp_seq=159 ttl=62 time=2.43 ms
64 bytes from 10.10.0.10: icmp_seq=160 ttl=62 time=2.37 ms
64 bytes from 10.10.0.10: icmp_seq=161 ttl=62 time=4.06 ms
64 bytes from 10.10.0.10: icmp_seq=162 ttl=62 time=3.67 ms
64 bytes from 10.10.0.10: icmp_seq=163 ttl=62 time=2.25 ms
64 bytes from 10.10.0.10: icmp_seq=164 ttl=62 time=2.30 ms
64 bytes from 10.10.0.10: icmp_seq=165 ttl=62 time=2.89 ms
64 bytes from 10.10.0.10: icmp_seq=166 ttl=62 time=3.80 ms
64 bytes from 10.10.0.10: icmp_seq=167 ttl=62 time=7.54 ms
64 bytes from 10.10.0.10: icmp_seq=168 ttl=62 time=2.23 ms
64 bytes from 10.10.0.10: icmp_seq=169 ttl=62 time=2.07 ms
64 bytes from 10.10.0.10: icmp_seq=170 ttl=62 time=3.19 ms
64 bytes from 10.10.0.10: icmp_seq=171 ttl=62 time=4.12 ms
64 bytes from 10.10.0.10: icmp_seq=172 ttl=62 time=2.67 ms
64 bytes from 10.10.0.10: icmp_seq=173 ttl=62 time=4.10 ms
64 bytes from 10.10.0.10: icmp_seq=174 ttl=62 time=3.89 ms
64 bytes from 10.10.0.10: icmp_seq=175 ttl=62 time=2.81 ms
64 bytes from 10.10.0.10: icmp_seq=176 ttl=62 time=7.46 ms
64 bytes from 10.10.0.10: icmp_seq=177 ttl=62 time=3.34 ms
64 bytes from 10.10.0.10: icmp_seq=178 ttl=62 time=3.56 ms
64 bytes from 10.10.0.10: icmp_seq=179 ttl=62 time=3.05 ms
64 bytes from 10.10.0.10: icmp_seq=180 ttl=62 time=2.49 ms
64 bytes from 10.10.0.10: icmp_seq=181 ttl=62 time=2.48 ms
64 bytes from 10.10.0.10: icmp_seq=182 ttl=62 time=3.17 ms
64 bytes from 10.10.0.10: icmp_seq=183 ttl=62 time=2.82 ms
64 bytes from 10.10.0.10: icmp_seq=184 ttl=62 time=3.61 ms
64 bytes from 10.10.0.10: icmp_seq=185 ttl=62 time=5.79 ms
64 bytes from 10.10.0.10: icmp_seq=186 ttl=62 time=2.50 ms
64 bytes from 10.10.0.10: icmp_seq=187 ttl=62 time=2.72 ms
64 bytes from 10.10.0.10: icmp_seq=188 ttl=62 time=3.66 ms
64 bytes from 10.10.0.10: icmp_seq=189 ttl=62 time=3.04 ms
64 bytes from 10.10.0.10: icmp_seq=190 ttl=62 time=4.03 ms
64 bytes from 10.10.0.10: icmp_seq=191 ttl=62 time=2.05 ms
64 bytes from 10.10.0.10: icmp_seq=192 ttl=62 time=2.47 ms
64 bytes from 10.10.0.10: icmp_seq=193 ttl=62 time=2.14 ms
64 bytes from 10.10.0.10: icmp_seq=194 ttl=62 time=3.88 ms
From 10.10.0.3 icmp_seq=209 Destination Host Unreachable
From 10.10.0.3 icmp_seq=210 Destination Host Unreachable
From 10.10.0.3 icmp_seq=211 Destination Host Unreachable
From 10.10.0.3 icmp_seq=212 Destination Host Unreachable
64 bytes from 10.10.0.10: icmp_seq=215 ttl=60 time=10.2 ms
64 bytes from 10.10.0.10: icmp_seq=216 ttl=60 time=6.76 ms
64 bytes from 10.10.0.10: icmp_seq=217 ttl=60 time=4.29 ms
64 bytes from 10.10.0.10: icmp_seq=218 ttl=60 time=5.47 ms
64 bytes from 10.10.0.10: icmp_seq=219 ttl=60 time=5.53 ms
64 bytes from 10.10.0.10: icmp_seq=220 ttl=60 time=3.89 ms
64 bytes from 10.10.0.10: icmp_seq=221 ttl=60 time=13.0 ms
64 bytes from 10.10.0.10: icmp_seq=222 ttl=60 time=3.60 ms
64 bytes from 10.10.0.10: icmp_seq=223 ttl=60 time=5.29 ms
64 bytes from 10.10.0.10: icmp_seq=224 ttl=60 time=5.75 ms
64 bytes from 10.10.0.10: icmp_seq=225 ttl=60 time=6.08 ms
64 bytes from 10.10.0.10: icmp_seq=226 ttl=60 time=4.52 ms
64 bytes from 10.10.0.10: icmp_seq=227 ttl=60 time=4.19 ms
64 bytes from 10.10.0.10: icmp_seq=228 ttl=60 time=5.02 ms
64 bytes from 10.10.0.10: icmp_seq=229 ttl=60 time=5.06 ms
64 bytes from 10.10.0.10: icmp_seq=230 ttl=60 time=11.2 ms
64 bytes from 10.10.0.10: icmp_seq=231 ttl=60 time=5.35 ms
64 bytes from 10.10.0.10: icmp_seq=232 ttl=60 time=5.11 ms
64 bytes from 10.10.0.10: icmp_seq=233 ttl=60 time=4.93 ms
64 bytes from 10.10.0.10: icmp_seq=234 ttl=60 time=6.42 ms
64 bytes from 10.10.0.10: icmp_seq=235 ttl=60 time=5.43 ms
64 bytes from 10.10.0.10: icmp_seq=236 ttl=60 time=4.37 ms
64 bytes from 10.10.0.10: icmp_seq=237 ttl=60 time=4.85 ms
64 bytes from 10.10.0.10: icmp_seq=238 ttl=60 time=5.72 ms
64 bytes from 10.10.0.10: icmp_seq=239 ttl=60 time=12.4 ms
64 bytes from 10.10.0.10: icmp_seq=240 ttl=60 time=5.05 ms
64 bytes from 10.10.0.10: icmp_seq=241 ttl=60 time=5.68 ms
64 bytes from 10.10.0.10: icmp_seq=242 ttl=60 time=3.52 ms
64 bytes from 10.10.0.10: icmp_seq=243 ttl=60 time=4.44 ms
64 bytes from 10.10.0.10: icmp_seq=244 ttl=60 time=5.41 ms
64 bytes from 10.10.0.10: icmp_seq=245 ttl=60 time=3.13 ms
64 bytes from 10.10.0.10: icmp_seq=246 ttl=60 time=5.88 ms
64 bytes from 10.10.0.10: icmp_seq=247 ttl=60 time=4.71 ms
64 bytes from 10.10.0.10: icmp_seq=248 ttl=60 time=9.65 ms
64 bytes from 10.10.0.10: icmp_seq=249 ttl=60 time=5.53 ms
64 bytes from 10.10.0.10: icmp_seq=250 ttl=60 time=4.65 ms
64 bytes from 10.10.0.10: icmp_seq=251 ttl=60 time=4.75 ms
64 bytes from 10.10.0.10: icmp_seq=252 ttl=60 time=6.88 ms
64 bytes from 10.10.0.10: icmp_seq=253 ttl=60 time=5.79 ms
64 bytes from 10.10.0.10: icmp_seq=254 ttl=60 time=5.15 ms
64 bytes from 10.10.0.10: icmp_seq=258 ttl=60 time=8.90 ms
64 bytes from 10.10.0.10: icmp_seq=259 ttl=60 time=8.57 ms
64 bytes from 10.10.0.10: icmp_seq=260 ttl=60 time=5.45 ms
64 bytes from 10.10.0.10: icmp_seq=261 ttl=60 time=6.63 ms
64 bytes from 10.10.0.10: icmp_seq=262 ttl=60 time=5.70 ms
64 bytes from 10.10.0.10: icmp_seq=263 ttl=60 time=5.09 ms
64 bytes from 10.10.0.10: icmp_seq=264 ttl=60 time=13.6 ms
64 bytes from 10.10.0.10: icmp_seq=265 ttl=60 time=4.09 ms
64 bytes from 10.10.0.10: icmp_seq=266 ttl=60 time=7.03 ms
64 bytes from 10.10.0.10: icmp_seq=267 ttl=60 time=3.82 ms
64 bytes from 10.10.0.10: icmp_seq=268 ttl=60 time=5.92 ms
64 bytes from 10.10.0.10: icmp_seq=269 ttl=60 time=6.11 ms
64 bytes from 10.10.0.10: icmp_seq=270 ttl=60 time=4.29 ms
