PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=3 ttl=62 time=8.04 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=62 time=17.5 ms
From 10.10.0.5 icmp_seq=1 Destination Host Unreachable
From 10.10.0.5 icmp_seq=2 Destination Host Unreachable
64 bytes from 10.10.0.10: icmp_seq=5 ttl=63 time=5.69 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=62 time=1.90 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=62 time=4.85 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=62 time=5.31 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=63 time=1.65 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=63 time=3.83 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=63 time=1.48 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=63 time=1.14 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=63 time=8.54 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=63 time=1.15 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=63 time=2.10 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=63 time=1.52 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=63 time=1.20 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=63 time=1.93 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=62 time=3.23 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=62 time=5.81 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=63 time=1.82 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=63 time=0.973 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=63 time=1.21 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=63 time=1.49 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=63 time=0.950 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=63 time=7.87 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=63 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=63 time=0.980 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=63 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=63 time=1.20 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=63 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=63 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=63 time=0.939 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=63 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=63 time=1.32 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=63 time=1.59 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=63 time=1.31 ms
