PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=3.25 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=0.574 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.497 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=0.821 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.287 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.464 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=0.706 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.379 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.609 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.342 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.962 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=5.89 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=1.77 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=64 time=0.777 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=64 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=64 time=0.765 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=64 time=0.704 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=64 time=0.830 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=1.06 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=0.845 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=0.544 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=0.947 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=1.31 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=1.12 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=0.474 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=8.15 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=0.474 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=1.31 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=1.37 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=0.910 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=1.27 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=0.775 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=1.30 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=0.805 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=0.586 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=1.93 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=1.89 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=6.62 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=1.22 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=0.489 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=1.08 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=0.454 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=2.10 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=7.15 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=0.460 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=64 time=2.18 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=64 time=0.932 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=64 time=0.838 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=64 time=8.86 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=64 time=0.792 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=64 time=0.514 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=64 time=0.515 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=64 time=0.990 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=64 time=0.881 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=64 time=0.770 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=64 time=5.55 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=64 time=0.767 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=64 time=0.452 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=64 time=0.927 ms
64 bytes from 10.10.0.10: icmp_seq=70 ttl=64 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=71 ttl=64 time=0.879 ms
64 bytes from 10.10.0.10: icmp_seq=72 ttl=64 time=1.20 ms
64 bytes from 10.10.0.10: icmp_seq=73 ttl=64 time=0.884 ms
64 bytes from 10.10.0.10: icmp_seq=74 ttl=64 time=0.882 ms
64 bytes from 10.10.0.10: icmp_seq=75 ttl=64 time=0.917 ms
64 bytes from 10.10.0.10: icmp_seq=76 ttl=64 time=1.43 ms
64 bytes from 10.10.0.10: icmp_seq=77 ttl=64 time=1.23 ms
64 bytes from 10.10.0.10: icmp_seq=78 ttl=64 time=0.920 ms
64 bytes from 10.10.0.10: icmp_seq=79 ttl=64 time=1.38 ms
64 bytes from 10.10.0.10: icmp_seq=80 ttl=64 time=0.491 ms
64 bytes from 10.10.0.10: icmp_seq=81 ttl=64 time=1.30 ms
64 bytes from 10.10.0.10: icmp_seq=82 ttl=64 time=0.924 ms
64 bytes from 10.10.0.10: icmp_seq=83 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=108 ttl=63 time=6.38 ms
64 bytes from 10.10.0.10: icmp_seq=109 ttl=63 time=3.34 ms
64 bytes from 10.10.0.10: icmp_seq=110 ttl=63 time=1.83 ms
From 10.10.0.1 icmp_seq=107 Destination Host Unreachable
64 bytes from 10.10.0.10: icmp_seq=111 ttl=63 time=2.08 ms
64 bytes from 10.10.0.10: icmp_seq=112 ttl=63 time=2.46 ms
64 bytes from 10.10.0.10: icmp_seq=113 ttl=63 time=2.63 ms
64 bytes from 10.10.0.10: icmp_seq=114 ttl=63 time=1.49 ms
64 bytes from 10.10.0.10: icmp_seq=115 ttl=63 time=0.924 ms
64 bytes from 10.10.0.10: icmp_seq=116 ttl=63 time=1.81 ms
64 bytes from 10.10.0.10: icmp_seq=117 ttl=63 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=118 ttl=63 time=2.23 ms
64 bytes from 10.10.0.10: icmp_seq=119 ttl=63 time=1.63 ms
64 bytes from 10.10.0.10: icmp_seq=120 ttl=63 time=1.44 ms
64 bytes from 10.10.0.10: icmp_seq=121 ttl=63 time=2.20 ms
64 bytes from 10.10.0.10: icmp_seq=122 ttl=63 time=1.36 ms
64 bytes from 10.10.0.10: icmp_seq=123 ttl=63 time=1.69 ms
64 bytes from 10.10.0.10: icmp_seq=124 ttl=63 time=1.52 ms
64 bytes from 10.10.0.10: icmp_seq=125 ttl=63 time=1.67 ms
64 bytes from 10.10.0.10: icmp_seq=126 ttl=63 time=1.72 ms
