PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=3.13 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=1.77 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.461 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=0.486 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.543 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.372 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=0.762 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=0.480 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=1.10 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.371 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.685 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.690 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=0.331 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=0.812 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=0.749 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=64 time=0.900 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=64 time=0.837 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=64 time=1.09 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=64 time=0.675 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=64 time=0.396 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=0.396 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=1.41 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=0.491 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=1.92 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=0.851 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=1.66 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=0.575 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=3.26 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=1.43 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=1.45 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=0.916 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=1.19 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=0.970 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=0.534 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=0.788 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=0.583 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=1.31 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=0.783 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=0.560 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=0.776 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=0.846 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=4.97 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=1.38 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=64 time=0.894 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=64 time=1.49 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=64 time=0.936 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=64 time=0.906 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=64 time=0.911 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=64 time=1.38 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=64 time=2.21 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=64 time=0.464 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=64 time=0.616 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=64 time=1.89 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=64 time=0.577 ms
