PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=3 ttl=62 time=15.9 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=62 time=5.04 ms
From 10.10.0.5 icmp_seq=1 Destination Host Unreachable
From 10.10.0.5 icmp_seq=2 Destination Host Unreachable
64 bytes from 10.10.0.10: icmp_seq=5 ttl=62 time=1.29 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=62 time=1.96 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=62 time=6.62 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=62 time=2.46 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=62 time=2.02 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=62 time=1.58 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=62 time=2.54 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=62 time=2.11 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=62 time=2.23 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=62 time=2.47 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=62 time=2.18 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=62 time=5.41 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=62 time=1.83 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=62 time=3.43 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=62 time=2.25 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=62 time=1.62 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=62 time=1.92 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=62 time=2.37 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=62 time=3.12 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=62 time=3.11 ms
From 10.10.0.2 icmp_seq=39 Destination Host Unreachable
From 10.10.0.2 icmp_seq=40 Destination Host Unreachable
From 10.10.0.2 icmp_seq=41 Destination Host Unreachable
From 10.10.0.9 icmp_seq=45 Time to live exceeded
From 10.10.0.9 icmp_seq=46 Time to live exceeded
From 10.10.0.9 icmp_seq=47 Time to live exceeded
From 10.10.0.9 icmp_seq=48 Time to live exceeded
64 bytes from 10.10.0.10: icmp_seq=49 ttl=62 time=5.89 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=62 time=2.70 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=62 time=1.75 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=62 time=2.84 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=63 time=1.47 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=63 time=1.21 ms
